Open,High,Low,Close,Adj Close,Volume,Search Vol
94821.17188,99401.10156,93868.71094,95244.59375,95244.59375,3.14E+11,0.31766
95421.94531,97114.29688,92295.875,93621.07031,93621.07031,3.42E+11,0.33345
93707.46875,94567.88281,90766.07031,92940.73438,92940.73438,2.82E+11,0.33542
92969.9375,96088.39063,89957.71875,96088.39063,96088.39063,2.66E+11,0.24663
96155.71875,96619.21094,91564.71875,91747.125,91747.125,2.67E+11,0.27425
91912.03125,92807.46875,89818.42188,89950.03125,89950.03125,2.93E+11,0.34331
89866.27344,89844.5,84150.60156,84637.57031,84637.57031,3.58E+11,0.32555
84689.17969,90665.42969,85195.60938,88714.46094,88714.46094,3.21E+11,0.28609
88595.20313,88630.57031,84657.39844,86229.17969,86229.17969,3.00E+11,0.31766
86771.97656,88575.41406,85930.04688,86868.07813,86868.07813,2.89E+11,0.22493
86902.85156,87544.69531,86005.52344,86619.58594,86619.58594,2.23E+11,0.17165
86599.49219,89912.79688,85821.5,89187.65625,89187.65625,2.60E+11,0.1756
89210.92969,95405.5625,88259.92188,95405.5625,95405.5625,3.47E+11,0.29793
95073.54688,101670.6641,93523,101075.8672,101075.8672,3.85E+11,0.38475
101093.2031,105627.7266,97363.6875,98349.78125,98349.78125,4.25E+11,0.85434
98277.52344,100991.0313,97035.36719,98332.30469,98332.30469,3.49E+11,0.40645
98348.53125,98297.39063,92906.71094,93256.15625,93256.15625,3.24E+11,0.34134
93147.64063,96062.59375,90908.38281,95182.36719,95182.36719,2.77E+11,0.19533
94957.67188,95370.10938,93388.34375,93729.50781,93729.50781,2.77E+11,0.23085
93814.38281,97086.80469,93234.71094,93346.53125,93346.53125,3.35E+11,0.36699
93629.39844,100720.8516,93082.94531,100720.8516,100720.8516,4.97E+11,1.07927
100012.4219,101531.3828,95881.875,96262.76563,96262.76563,3.46E+11,1.37129
96257.74219,98491.5625,93446.72656,94375.48438,94375.48438,3.22E+11,0.6373
94041.35156,95195.65625,91509.41406,94147.35156,94147.35156,4.00E+11,0.3295
94229.0625,94330.71094,92327.6875,93211.49219,93211.49219,3.12E+11,0.3295
93690.90625,94976.09375,92944.64063,93720.13281,93720.13281,3.08E+11,0.26636
93798.04688,94579.41406,90035.48438,92510.19531,92510.19531,3.51E+11,0.31372
92330.875,92651.71875,85674.32031,88646.49219,88646.49219,3.55E+11,0.34134
89412.25781,90155.10156,85461.1875,87089.27344,87089.27344,3.37E+11,0.27425
86931.10156,87884.02344,85311.53125,85895.98438,85895.98438,3.22E+11,0.31766
86079.875,87055.875,84043.36719,87021.19531,87021.19531,3.35E+11,0.3078
86894.14063,87343.75,81664.82813,82153.82813,82153.82813,2.95E+11,0.25255
82356.29688,84166.23438,81582.44531,83757.17969,83757.17969,2.98E+11,0.29004
84287.42188,86021.28125,81958.24219,83145.02344,83145.02344,2.98E+11,0.29201
83274.21094,84401.82813,76095.34375,76095.09375,76095.09375,3.34E+11,0.3078
76086.72656,76219.64063,69419.66406,69736.16406,69736.16406,3.50E+11,0.32161
69716.74219,73582.42969,68565.92969,71776.85938,71776.85938,3.03E+11,0.30977
71770.35156,73026.88281,66466.44531,67065.92188,67065.92188,2.93E+11,0.33542
67171.61719,67522.89844,62863.94141,65897.34375,65897.34375,2.94E+11,0.24466
65737.45313,69676.33594,65442.96875,67087.03125,67087.03125,3.13E+11,0.24466
67262.97656,68672.45313,63980.50781,64577.28125,64577.28125,2.53E+11,0.33345
64755.17188,64790.06641,57684.78906,61472.07422,61472.07422,2.82E+11,0.33542
61606.82813,66881.10938,61694.59766,61928.80469,61928.80469,3.21E+11,0.32753
61969.25781,64818.42969,61896.67188,62357.98438,62357.98438,2.39E+11,0.35318
62321.375,68866.60156,62218.51563,68866.60156,68866.60156,2.95E+11,0.34923
68914.07031,69448.30469,62472.46094,64121.29297,64121.29297,2.72E+11,0.32753
64061.95703,65762.61719,63301.35547,64809.98438,64809.98438,2.29E+11,0.20717
64775.75781,65676.29688,60296.57031,60305.65625,60305.65625,2.73E+11,0.29793
60054.8125,63352.37891,60127.40234,62892.45703,62892.45703,2.09E+11,0.33542
