Date,Open,High,Low,Close,Adj Close,Volume,Search Vol
20-4-16,48503.29297,52807.34766,47372.41406,52405.89453,52405.89453,6.1203E+12,0.31569
20-4-17,52388.74609,52560.42578,51149.1875,51989.07813,51989.07813,4.98256E+12,0.23479
20-4-18,51997.05859,53979.76953,51731.82031,53956.81641,53956.81641,5.48336E+12,0.20914
20-4-19,53938.70313,54131.89844,51807.94141,51854.94141,51854.94141,5.5502E+12,0.22098
20-4-20,51903.4375,52854.80469,49394.97266,49837.16797,49837.16797,5.24051E+12,0.29398
20-4-21,49814.26563,50898.62891,49908.89453,50555.29688,50555.29688,4.87134E+12,0.26044
20-4-22,50497.5625,52223.05859,50234.76172,51621.21094,51621.21094,4.96591E+12,0.24071
20-4-23,51609.28516,53503.1875,50951.86328,52928.70703,52928.70703,5.86454E+12,0.28807
20-4-24,52999.58203,55750.28125,52955.36719,55144.64063,55144.64063,5.89049E+12,0.31964
20-4-25,55150.48828,56175.05859,54602.87109,55027.0625,55027.0625,5.86988E+12,0.26439
20-4-26,55033.22656,55795.39453,54531.12109,54989.92188,54989.92188,5.76843E+12,0.25847
20-4-27,54975.57813,55949.07031,53699.56641,54629.88672,54629.88672,5.46632E+12,0.31766
20-4-28,54664.23047,56559.73828,54070.98438,56219.45703,56219.45703,5.39062E+12,0.23479
20-4-29,56296.18359,60202.0625,56007.9375,59562.98438,59562.98438,6.87171E+12,0.33345
